[BrakeControllerBridge @ factory.py:85][DEBUG] 2018-11-06 23:45:11,589: Logging to: logs/2018_Nov_06/BrakeControllerBridge/23_45_11.log
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:25,265: packet: 'Packet(global_sequence_num=78, data=[0.38, 12.02, 3.72, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565925.1259847, timestamp=12.94038, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:25,266: packet: 'Packet(global_sequence_num=79, data=[0.37, 12.02, 3.52, 44.8, 12.02, 0, 0.0], name=brake, receive_time=1541565925.2269156, timestamp=13.041764, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:25,329: packet: 'Packet(global_sequence_num=80, data=[0.33, 12.02, 3.6, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565925.3286202, timestamp=13.143132, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:25,430: packet: 'Packet(global_sequence_num=81, data=[0.38, 12.02, 3.52, 43.2, 12.02, 0, 0.0], name=brake, receive_time=1541565925.4293528, timestamp=13.243492, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:25,663: packet: 'Packet(global_sequence_num=82, data=[0.34, 12.02, 3.6, 44.8, 12.02, 0, 0.0], name=brake, receive_time=1541565925.5301461, timestamp=13.34486, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:25,663: packet: 'Packet(global_sequence_num=83, data=[1.92, 12.02, 19.2, 228.0, 12.02, 36, 20.32], name=brake, receive_time=1541565925.6315901, timestamp=13.446256, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:25,733: packet: 'Packet(global_sequence_num=84, data=[1.93, 12.02, 19.4, 230.4, 12.03, 30, 20.32], name=brake, receive_time=1541565925.7327633, timestamp=13.546608, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:25,836: packet: 'Packet(global_sequence_num=85, data=[1.94, 12.02, 19.32, 232.0, 12.02, 33, 20.32], name=brake, receive_time=1541565925.8357475, timestamp=13.649484, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:26,070: packet: 'Packet(global_sequence_num=86, data=[1.95, 12.02, 19.0, 236.0, 12.02, 33, 20.32], name=brake, receive_time=1541565925.9353254, timestamp=13.749748, sequence_num=0)'
[BrakeControllerBridge @ brake_controller_bridge.py:36][DEBUG] 2018-11-06 23:45:26,070: packet: 'Packet(global_sequence_num=87, data=[1.95, 12.02, 19.52, 234.4, 12.02, 36, 20.32], name=brake, receive_time=1541565926.0383933, timestamp=13.852756, sequence_num=0)'
[BrakeControllerBridge @ node.py:82][DEBUG] 2018-11-06 23:45:26,071: [log buffer start]
[DEBUG, 1541565917.2515018]: Packet(global_sequence_num=0, data=[0.32, 12.03, 3.32, 40.8, 0.0, 0, 0.0], name=brake, receive_time=1541565917.2515018, timestamp=5.059312, sequence_num=0)
[DEBUG, 1541565917.3521352]: Packet(global_sequence_num=1, data=[0.36, 12.03, 3.4, 41.6, 12.03, 0, 0.0], name=brake, receive_time=1541565917.3521352, timestamp=5.160036, sequence_num=0)
[DEBUG, 1541565917.4521008]: Packet(global_sequence_num=2, data=[0.32, 12.03, 3.2, 38.4, 12.03, 0, 0.0], name=brake, receive_time=1541565917.4521008, timestamp=5.260388, sequence_num=0)
[DEBUG, 1541565917.5544124]: Packet(global_sequence_num=3, data=[0.35, 12.03, 3.4, 39.2, 12.03, 0, 0.0], name=brake, receive_time=1541565917.5544124, timestamp=5.361756, sequence_num=0)
[DEBUG, 1541565917.655319]: Packet(global_sequence_num=4, data=[0.34, 12.03, 3.32, 39.2, 12.03, 0, 0.0], name=brake, receive_time=1541565917.655319, timestamp=5.46314, sequence_num=0)
[DEBUG, 1541565917.7552514]: Packet(global_sequence_num=5, data=[0.33, 12.03, 3.4, 38.4, 12.03, 0, 0.0], name=brake, receive_time=1541565917.7552514, timestamp=5.563492, sequence_num=0)
[DEBUG, 1541565917.8564095]: Packet(global_sequence_num=6, data=[0.33, 12.02, 3.52, 40.8, 12.03, 0, 0.0], name=brake, receive_time=1541565917.8564095, timestamp=5.66486, sequence_num=0)
[DEBUG, 1541565917.9576666]: Packet(global_sequence_num=7, data=[0.33, 12.03, 3.4, 38.4, 12.02, 0, 0.0], name=brake, receive_time=1541565917.9576666, timestamp=5.766244, sequence_num=0)
